park,from,from_4yr,to,cycle_latest
ACAD,2006,2023,2026,6
MABI,2006,2022,2025,5
MIMA,2006,2022,2025,5
MORR,2006,2023,2026,5
ROVA,2006,2023,2026,5
SAGA,2006,2022,2025,5
SARA,2006,2022,2025,5
WEFA,2006,2023,2026,5
