"Plot_Name","Plot","Panel","seed_den_1","seed_den_2","seed_den_3","seed_den_4","sap_den_1","sap_den_2","sap_den_3","sap_den_4","stock_1","stock_2","stock_3","stock_4"
"SAHI-231",231,"3",0,0,0,0,0,0,0,0,0,0,0,0
"SAHI-237",237,"3",0.33,0.58,0.58,0,0.01,0.01,0.04,0.02,4.14690230273853,12.5663706143592,25.2584049348619,7.41415866247191
"SAHI-236",236,"3",0.42,0.17,0,0,0.06,0.07,0.04,0.04,43.102651207252,26.3893782901543,7.41415866247191,7.41415866247191
"SAHI-229",229,"3",0.25,0.42,0.5,0,0.02,0.06,0.01,0.01,70.3716754404114,79.7964534011807,9.42477796076938,7.41415866247191
