"Plot_Name","Plot","Panel","seed_den_1","seed_den_2","seed_den_3","seed_den_4","sap_den_1","sap_den_2","sap_den_3","sap_den_4","stock_1","stock_2","stock_3","stock_4"
"BOWA-005",5,"1",2.58,1.33,3.17,2.25,0.01,0.01,0.01,0.01,37.6991118430775,16.7132729170977,40.8407044966673,31.4159265358979
"BOWA-095",95,"2",2.33,2.25,1.67,1.67,0.2,0.21,0.17,0.12,163.865472811244,104.175212393038,91.6088417786784,74.6442414492935
"BOWA-182",182,"3",0.25,0.25,0.25,0.25,0.01,0.01,0.01,0.01,4.14690230273853,4.14690230273853,3.14159265358979,3.14159265358979
"BOWA-006",6,"1",1.08,1.08,1.25,1.58,0.07,0.09,0.12,0.09,16.7132729170977,100.656628621017,33.6778732464826,50.3911461635803
"BOWA-094",94,"2",0.5,0.17,0.5,0.33,0.08,0.08,0.12,0.04,30.6619442990364,10.5557513160617,15.8336269740926,4.14690230273853
"BOWA-261",261,"4",1.67,1.67,1.42,0.67,0.15,0.14,0.14,0.09,58.9362781813445,109.201760638781,55.9203492338983,39.081412610657
"BOWA-260",260,"4",5.83,6.75,6.83,8.58,0.22,0.2,0.17,0.11,394.458373584734,390.060143869709,277.842454283481,172.913259653582
"BOWA-181",181,"3",0.25,0.5,0.25,0.5,0.05,0.05,0.05,0.04,10.5557513160617,15.8336269740926,10.5557513160617,6.28318530717959
