"Plot_Name","SampleYear","X","Y","ScientificName","CommonName","type"
"THST-132",2021,322097,4266316,"Oplismenus hirtellus ssp. undulatifolius","wavyleaf basketgrass","graminoid"
"THST-130",2021,321850,4266561,"Oplismenus hirtellus ssp. undulatifolius","wavyleaf basketgrass","graminoid"
"THST-293",2022,322099,4266552,"Oplismenus hirtellus ssp. undulatifolius","wavyleaf basketgrass","graminoid"
