"Plot_Name","Plot","Panel","seed_den_1","seed_den_2","seed_den_3","seed_den_4","sap_den_1","sap_den_2","sap_den_3","sap_den_4","stock_1","stock_2","stock_3","stock_4"
"THST-212",212,"3",0.08,0.08,0.08,0,0.01,0.01,0.01,0.01,2.13628300444106,1.00530964914873,1.00530964914873,0
"THST-132",132,"2",0.83,0.58,0.42,0.33,0,0,0.01,0.01,33.552209540339,13.5716802635079,36.6938021939288,44.9876067994058
"THST-326",326,"1",0,0,0,0,0.01,0.01,0.02,0.02,7.41415866247191,0,7.41415866247191,7.41415866247191
"THST-325",325,"1",0.08,0,0,0.17,0.07,0.07,0.07,0.07,1.00530964914873,0,0,2.13628300444106
"THST-130",130,"2",0.25,0.08,0.08,0,0.05,0.05,0.04,0.02,25.1327412287183,20.9858389259798,20.9858389259798,0
"THST-292",292,"4",0.08,0,0,0,0.01,0.01,0.01,0.01,2.13628300444106,0,0,0
"THST-217",217,"3",0,0.08,0.17,0,0.06,0.06,0.06,0.05,7.41415866247191,1.00530964914873,2.13628300444106,0
"THST-293",293,"4",0,0,0,0,0.01,0.01,0.01,0.01,0,0,0,0
