"Plot_Name","SampleYear","X","Y","ScientificName","CommonName","type"
"HOFU-249",2023,434845,4451801,"Persicaria perfoliata","Asiatic tearthumb","herbaceous"
"HOFU-050",2019,435101,4451801,"Persicaria perfoliata","Asiatic tearthumb","herbaceous"
"HOFU-248",2023,434602,4452066,"Persicaria perfoliata","Asiatic tearthumb","herbaceous"
"HOFU-163",2022,434105,4450558,"Persicaria perfoliata","Asiatic tearthumb","herbaceous"
"HOFU-251",2023,435096,4451552,"Persicaria perfoliata","Asiatic tearthumb","herbaceous"
"HOFU-086",2022,435074,4452049,"Persicaria perfoliata","Asiatic tearthumb","herbaceous"
"HOFU-085",2022,434342,4452052,"Persicaria perfoliata","Asiatic tearthumb","herbaceous"
"HOFU-051",2019,434598,4449550,"Persicaria perfoliata","Asiatic tearthumb","herbaceous"
"HOFU-083",2022,434359,4451310,"Agrilus planipennis","emerald ash borer","pest"
