"Plot_Name","Plot","Panel","seed_den_1","seed_den_2","seed_den_3","seed_den_4","sap_den_1","sap_den_2","sap_den_3","sap_den_4","stock_1","stock_2","stock_3","stock_4"
"GEWA-218",218,"3",0.17,0.42,0.25,0.25,0.01,0.01,0.01,0.01,3.14159265358979,7.28849495632832,4.14690230273853,4.14690230273853
"GEWA-295",295,"4",0,0.25,0.5,0.25,0.02,0.05,0.08,0.09,14.8283173249438,34.8088466017749,64.2141538393754,76.6548607475909
"GEWA-294",294,"4",0,0.08,0,0,0,0,0,0,0,1.00530964914873,0,0
"GEWA-320",320,"1",0,0.08,0.42,0.25,0.11,0.08,0.06,0.04,0,1.00530964914873,5.27787565803085,5.27787565803085
"GEWA-214",214,"3",0,0,0,0,0,0,0,0,0,0,0,0
"GEWA-143",143,"2",0.33,0.5,0.25,0.25,0,0,0,0,4.14690230273853,7.28849495632832,4.14690230273853,56.5486677646163
"GEWA-144",144,"2",0,0.17,0.67,0.17,0,0,0,0,0,2.13628300444106,8.41946831162065,3.14159265358979
"GEWA-321",321,"1",0.5,0.67,0.58,0.42,0,0,0,0,6.28318530717959,8.41946831162065,10.4300876099181,6.28318530717959
